Noise Rate,Custom Model F1,Custom Model Test Accuracy,Baseline Model F1,Baseline Model Test Accuracy
0.1,0.8513,85.0700,0.8172,81.7400
0.2,0.8267,82.8300,0.7556,75.7500
0.3,0.7873,78.7800,0.6585,65.9200
0.4,0.7042,70.7100,0.5903,59.1000
0.5,0.6188,62.2600,0.4504,45.0800
0.6,0.5564,55.6500,0.3837,38.2700
0.7,0.3967,39.8200,0.2714,27.3500
0.8,0.2824,29.2200,0.1648,16.5000
0.9,0.0736,9.4000,0.1002,10.5900
